name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
CEABS Serviços,"Av. João Gualberto, 1000 - Alto da Glória, Curitiba - PR, 80030-000",ceabs.com.br,(41) 3004-7707,,3.8,-25.4181939,-49.3352677
Logos Soluções Tecnológicas,"R. Estados Unidos, 1680 - Boa Vista, Curitiba - PR, 82540-030",logosrastreamento.com.br,,,4.3,-25.4181939,-49.3352677
RastreWeb,"R. Ernesto Germano Hoppe, 899 - Braga, São José dos Pinhais - PR, 83020-195",rastreweb.com.br,(41) 3398-2125,,4.4,-25.5542945,-49.2660904
Link Monitoramento,"R. Imac. Conceição, 1430 - Prado Velho, Curitiba - PR, 80215-182",linkmonitoramento.com.br,(41) 3078-1700,,4.7,-25.453785,-49.3250786
Simtech- Rastreamento Veicular,,simtechsat.com,(41) 98821-2485,,,-25.453785,-49.3250786
LaraSat Rastreamento Veicular,"R. Guarandi, 12 - São Braz, Curitiba - PR, 82015-610",larasat.com.br,,,,-25.4168551,-49.4120564
Telemachine Telemática Ltda,"Av. Rep. Argentina, 452 - Água Verde, Curitiba - PR, 80240-240",telemachine.com.br,(41) 3095-0970,,4.6,-25.4505287,-49.3603202
TrackTech Rastreamento Veicular,,,(41) 98876-7898,,,-14.4095262,-51.3887778
FORTESAT Rastreamento de Veículos - PR,"Borracharia Mendes - Rua Alda Bassetti, R. Joaquim Bertholdi, 244 - Campo de Santana, Curitiba - PR, 81490-344",fortesat.com.br,0800 605 5001,,1.0,-25.5869824,-49.4052154
ControlCar Rastreadores e Bloqueadores,"Barreirinha, Curitiba - PR, 82560-170",,,,1.0,-25.376833,-49.3246218
ADDLOG,"Av. Cândido de Abreu, 660 - Centro Cívico, Curitiba - PR, 80530-000",addlog.com.br,(41) 3117-9799,,5.0,-25.376833,-49.3246218
Skyfleet rastreador veicular Curitiba e Região Metropolitana,,instagram.com,(41) 92003-7128,,5.0,-14.4095262,-51.3887778
Escudo Monitoramento e Rastreamento 24 horas,"Av. Mal. Mascarenhas de Moraes, 1411 - Atuba, Curitiba - PR, 82620-300",escudomonitoramento.com.br,(41) 3257-8745,,4.0,-25.3840678,-49.2882156
Jbs Car Serviços e peças para caminhões,"Rodovia BR 116 KM 110, Nº 22730 - Tatuquara - Tatuquara, Curitiba - PR, 81690-500",grupojbscar.com.br,(41) 3268-0810,,5.0,-25.5500143,-49.3784064
CARLOG FROTAS,"R. João Negrão, 162 - Centro, Curitiba - PR, 80010-200",carlog.com.br,(41) 98707-5966,,5.0,-25.4309664,-49.3387185
TSM Tecnologia,"R. Ubaldino do Amaral, 374 - Alto da Glória, Curitiba - PR, 80060-195",tsmmonitoramento.com.br,(41) 3354-1282,,4.1,-25.4309664,-49.3387185
CwbSat,"R. Des. Westphalen - Rebouças, Curitiba - PR, 80220-030",cwbsat.com.br,(41) 2170-3878,,,-25.4309664,-49.3387185
NACIONALSAT,"R. Joao Opszynski, 58 - Afonso Pena, São José dos Pinhais - PR, 83040-505",nacionalsat.com.br,(41) 3634-1335,,5.0,-25.5176325,-49.2613219
VigiaCar Rastreamento,"R. Barão do Cerro Azul, 1764 - São Pedro, São José dos Pinhais - PR, 83025-140",vigiacar.com,(41) 99527-1193,,5.0,-25.5176325,-49.2613219
